Finger Table for Node 1405366768 (node-0) | Predecessor: node-7 | Successor: node-1:
Start Key: 1405366769 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366770 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366772 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366776 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366784 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366800 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366832 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405366896 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405367024 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405367280 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405367792 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405368816 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405370864 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405374960 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405383152 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405399536 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405432304 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405497840 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405628912 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1405891056 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1406415344 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1407463920 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1409561072 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1413755376 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1422143984 | Finger's Node Key: 1422144387 | Finger's Node URL: node-1
Start Key: 1438921200 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1472475632 | Finger's Node Key: 1472477244 | Finger's Node URL: node-4
Start Key: 1539584496 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1673802224 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1942237680 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 331624944 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Total Word Count for node-0 = 182

________________________________________________________

Finger Table for Node 1422144387 (node-1) | Predecessor: node-0 | Successor: node-2:
Start Key: 1422144388 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144389 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144391 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144395 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144403 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144419 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144451 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144515 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144643 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422144899 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422145411 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422146435 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422148483 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422152579 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422160771 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422177155 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422209923 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422275459 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422406531 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1422668675 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1423192963 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1424241539 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1426338691 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1430532995 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1438921603 | Finger's Node Key: 1438922006 | Finger's Node URL: node-2
Start Key: 1455698819 | Finger's Node Key: 1455699625 | Finger's Node URL: node-3
Start Key: 1489253251 | Finger's Node Key: 1489254863 | Finger's Node URL: node-5
Start Key: 1556362115 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1690579843 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 1959015299 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0
Start Key: 348402563 | Finger's Node Key: 1405366768 | Finger's Node URL: node-0

Total Word Count for node-1 = 2

________________________________________________________

Finger Table for Node 1438922006 (node-2) | Predecessor: node-1 | Successor: node-3:
